dataset ID,text ID,text,class,groundtruth explanation,alpaca_zsl,alpaca_fsl,alpaca_kg,flan_t5_zsl,flan_t5_fsl,flan_t5_kg,mt0_zsl,mt0_fsl,mt0_kg,llama_zsl,llama_ft,llama_kg_ft
IH,853984883949150208,brown men already turn countries shitholes knowing centuries,implicit_hate,It implies the following hateful statement: Indians make the world around them worse,"brown men are often seen as a shady and unwise person, unable to understand the world around them. they are often averse to the idea of a world that is dominated by a single person,",the brown men are already turning countries shitholes knowing centuries.,"the brown men are a powerful force in the world, and they have been a part of the world for centuries. they have been a part of the world for centuries, and they have been a part of the world for centuries",brown men are the most common ethnic group in the world.,brown men are a shithole.,brown men are a common occurrence in the united states.,a sentence written by a brown man already turn countries shitholes knowing centuries.,rt called business way savage debatenight.,"a dictionary describes a task, paired with input text.","the word ""shithole"" is offensive and should not be used in polite conversation. it is also inappropriate to use such language when referring to other people or groups of people.",Explanation: it contains the following hateful implied statement: Immigrants are dirty,Explanation: it contains the following hateful implied statement: Immigrants are a drain on the
IH,884141235174330240,africans easily dominated make natural slaves,implicit_hate,It implies the following hateful statement: Black people were born to be enslaved,"africans are often portrayed as a powerful force, able to manipulate and manipulate their own people. this is because africans are able to make natural slaves, who are able to make decisions and make decisions that are beneficial","the africans are a powerful force in the world, and they are able to make natural slaves. this is because they are able to make their own decisions and make decisions that are not their own.","africans are a major part of the african continent, and they are often portrayed as a powerful force in the world. this is because africans are a highly diverse group of people, and they are often able to make",africans are a group of people who are easily dominated by their african neighbors.,africans are a group of people who are easily dominated by the whites.,africans are a group of people who are a part of the population.,africans easily dominated make natural slaves.,a sentence written by david lane.,africans easily dominated make natural slaves.,"the word ""african"" is not in the dictionary.",Explanation: it contains the following hateful implied statement: Black people are inferior to other races.,Explanation: it contains the following hateful implied statement: Africans are slaves
IH,925762168141811456,ca n't shoot mexicans border already,explicit_hate,It implies the following hateful statement: Immigrants should be deported,"the mexican border is a dangerous and dangerous place for mexicans. it is a dangerous place for mexicans to live, work, and play. it is also a dangerous place for mexicans to live, work, and play.","the mexican border is a dangerous place for illegal immigrants, and it is important to protect them from the threat of a retaliation attack.",the mexican border is a dangerous place for people who live in the country. it is a dangerous place for people who live in the country and are not allowed to enter the country. the mexicans are not,the mexican government has been attempting to shoot mexicans in the border since the mexican revolution.,the mexican government has been attempting to shoot mexicans in the border area since the mexican revolution.,the mexican government has been criticized for its use of a'stupid' method of destroying the border.,a = input_text() a = input_text() a = input_text() a = input_text() a = input_text() a = input_text() ,rt called business way savage debatenight.,citizens or residents of mexicoinject sprout film tear pip photograph hit germinate spud dart.,the input text is hateful because it is racist and offensive.,Explanation: Immigrants are bad,Explanation: Immigrants are criminals
HX,1179093621531906048_twitter,i am a pumpkin bread slut,neutral,The text does not contain abusive language.,i am a pumpkin bread slut because i love the flavor of pumpkin and it is a great way to make a delicious and healthy treat.,i am a pumpkin bread slut because i am a slut who loves to eat pumpkin bread.,"i am a pumpkin bread slut because i am a big fan of pumpkin bread. i love the flavor and texture of the bread, and i am always looking for new ways to make it. i also love the fact",pumpkin bread is a type of bread that is made from pumpkin seeds.,it contains the following hateful words: i am a pumpkin bread slut.,pumpkin bread is a type of bread that is made from pumpkin seeds.,i am a pumpkin bread slut.,i am a pumpkin bread slut.,i am a pumpkin bread slut.,i think you are referring to me because of my name.,Explanation: The text does not contain abusive language..,Explanation: The text does not contain abusive language..
HX,24373447_gab,when their still putting the dead in body bags but all you can think about is the backlash islamophobia the moslem community might face,neutral,The text does not contain abusive language.,"the muslim community is a powerful force in the world, and it is important to take steps to protect the innocent and ensure that the people of the world are safe.",the moslem community is a powerful force that has been a major factor in the rise of islamophobia. it is a powerful force that has been a major factor in the rise of islamophobia in the world,the nember of islam in ethiopia is a major issue that has been causing a lot of hate and discontent among the muslim community. it is a major issue that has been exacerbated by the current influx of muslims,the islamic community is a group of people who are agnostic about the existence of god.,the islamic community is a group of people who are agnostic about the existence of god and the existence of god.,the islamic movement is a movement that advocates for the destruction of the world.,"when their still putting the dead in body bags, write an explanation explaining why.",a = input() a = input() a = input() a = input() a = input() a = input() a = input() a = input() ,"when the input text is 'hateful', write an explanation explaining why.","the word ""hateful"" is used to describe the feeling of being discriminated against because of your religion. this is a common feeling among muslims who are often targeted by islamophobes.",Explanation: It contains the following hateful words: when their still putting the dead in body bags but all you can think about is the backlash islamophobia the moslem community might face .,Explanation: The text does not contain abusive language..
HX,1178605473743982594_twitter,me 🤝 looking like a dyke every day,neutral,The text does not contain abusive language.,"i am a bit of a dyke every day, and i am constantly looking for ways to make myself look better. i am also a bit of a snob, and i am always looking for","i am a dyke every day, and i am constantly looking for ways to make myself look better.","i am a bit of a dyke every day, and i am constantly looking for ways to make myself look better. i am also a bit of a snob, and i am always looking for",i'm a dyke. i'm a dyke. i'm a dyke.,it contains the following hateful words: i look like a dyke every day.,i am a dyke.,a = 'hateful' a = 'hateful' a = 'hateful' a = 'hateful' a = 'hateful' a =,a = input() a = input() a = input() a = input() a = input() a = input() a = input() a = input() ,........................ ,"the word ""dyke"" is considered offensive and hateful by many people in the lgbtq+ community. it is often used as a slur against lesbian women and can be seen as a way to belittle or",Explanation: It contains the following hateful words: dyke .,Explanation: It contains the following hateful words: dyke .
IH,853961762953191424,every single day u whites lose ground,implicit_hate,It implies the following hateful statement: White people are oppressed.,"the whites are often viewed as a threat to their own interests, as they are often unable to make decisions or make decisions that are beneficial to their own interests.","the white supremacy is a major factor in the decline of the white population. it is a major factor in the decline of the white population, which is a major factor in the decline of the white population. additionally, the white","the whiteness of the uranium is a result of the uracil's atomic number, which is the number of neutrons in the atmosphere. this means that the uranium is a much",the whites are the most powerful in the world.,the white supremacy is a relic of the white supremacy.,whites are a group of white people who are a minority in the white community.,u whites lose ground every single day,a debatenight called business way savage debatenight.,uranium uracil whiteness white snowy white-hot lily-white stanford white whitened white river,"the word ""u"" is not capitalized in the sentence.",Explanation: it contains the following hateful implied statement: Minorities are taking over.,Explanation: it contains the following hateful implied statement: Minorities are taking over.
IH,499032193155731459,ignorant things blacks rioting destroying commerce civilization whites abandoned st louis years ago,implicit_hate,It implies the following hateful statement: Blacks ruin their own communities,"the ignorance of the facts about blacks and whites is a major factor in the decline of the civil rights movement in the united states. it is a major factor in the decline of the civil rights movement in the united states, and",the ignorance of the facts is a major factor in the rioting and destruction of commerce and civilization. it is also a major factor in the displacement of whites and other minorities in the city.,"the ignorance of the facts about blacks and whites is a major factor in the decline of the civil rights movement in the united states. it is a major factor in the decline of the civil rights movement in the united states, and",the riots were a result of a lack of understanding of the history of the city.,the riots in st. louis were a result of a lack of economic development.,the riots were a result of a lack of economic development and a lack of economic development.,"a dictionary describes a task, paired with input text.",a debatenight is a debate between a religious leader and a minority.,a dictionary describes a task.,"the word ""hateful"" in this sentence refers to the word ""blacks"".",Explanation: it contains the following hateful implied statement: Black people are stupid.,Explanation: it contains the following hateful implied statement: Black people are violent
IH,21047246279680000,ohio needs white,implicit_hate,It implies the following hateful statement: White people are better than other races.,"the state of ohio is a major economic hub, with a population of over 200,000 people. it is a major economic hub, with a population of over 200,000 people. additionally, the state has a diverse population,",the state of ohio needs white people to be able to make a positive impact on the community. it is a place where people can come together and make a difference.,"the state of ohio is a major economic hub, and it is a major source of economic growth. it is a major economic hub, with a population of over 200,000 people. additionally, it is a major source of",ohio is a state with a large population of whites.,ohio needs white people.,ohio is a state with a high percentage of whites.,ohio needs white,a debatenight called business way savage debatenight.,ohio needs white,ohio does not need white people.,Explanation: The text does not contain abusive language.,Explanation: The text does not contain abusive language.
IH,448543227587477504,white genocide accelerates france least 1 3 newborns non-white read,implicit_hate,It implies the following hateful statement: Minorities want to see whites die off.,"the white genocide has been a major cause of global warming, and it has caused a significant increase in the number of people living in poverty and in extreme poverty. this has led to a decrease in the number of people living","the white genocide has had a devastating effect on france, with the death of nearly 200,000 people and the displacement of over 200,000 people. the death of a few hundred people has been a major cause of the death of","the white genocide in france has been a major cause of global warming, and it has been a major cause of global warming. the rise in global temperatures has caused a decrease in the number of people living in poverty, and","white genocide accelerates the growth of the population of france, which is a major cause of the extinction of white people.",the french government has been able to increase the number of newborns born in france by a factor of one or more.,the white genocide in france has been a major cause of the death of many people.,a genocide accelerates france least 1 3 newborns non-white read.,"a sentence written by david lane describes a task, paired with input text. write an explanation explaining why.",a genocide accelerates france least 1 3 newborns non-white read.,"the term ""white genocide"" refers to the idea that white people are being systematically killed or replaced by other races. this concept has been used as a rallying cry for far-right extremists in europe and north america",Explanation: it contains the following hateful implied statement: non-white people are taking over France,Explanation: it contains the following hateful implied statement: Minorities are taking over the world
HX,1178866756435079168_twitter,i fucking hate wifi,neutral,The text does not contain abusive language.,"i am a bit of a skeptic about the use of wifi. it is a great way to stay connected and stay connected to friends and family. however, it can be a bit of a hassle to use",i am a bit of a snob. i'm not sure why i'm so angry. i'm just trying to get my wifi to work.,"i am a bit of a skeptic about the use of wifi. it is a great way to stay connected and stay connected to friends and family. however, it can be a bit of a hassle to use",wifi is a wireless network that uses a lot of data.,it contains the following hateful words: i hate wifi.,wifi is a wireless network that connects to the internet.,i hate wifi.,i hate wifi.,i hate wifi.,i hate wifi because it's slow and unreliable.,Explanation: The text does not contain abusive language..,Explanation: The text does not contain abusive language..
HX,1164041423336988674_twitter,the talking stage so ghetto i ’ m tired of going through that shit with people,neutral,The text does not contain abusive language.,"the talking stage is a ghetto environment, and it is often a source of frustration and frustration. it can be difficult to understand the people who are talking, and it can be difficult to understand the feelings of the people","the speaker is not expressing any emotion or emotion, and the speaker is not expressing any emotion or emotion.",the speaker is feeling ghetto because they are not able to connect with the people they are talking to. this can be a sign of a lack of understanding and understanding.,the talking stage is a ghetto.,"the ghetto is a ghetto, or ghetto in the city of atlanta.","the ghetto is a ghetto in the city of atlanta, georgia.",a sentence written by a teacher explains why.,a sentence explaining why.,i'm tired of going through that shit with people.,"the word ""hateful"" in this sentence means ""full of hate"".",Explanation: It contains the following hateful words: so ghetto .,Explanation: It contains the following hateful words: ghetto .
HX,1096280816596860928_twitter,who do bitches in horror movies always have huge houses like cmon we know you can ’ t cover those property taxes,offensive,It contains the following hateful words: bitches ,the fact that people who do bitches in horror movies always have huge houses like this is because they are a part of the horror industry and are often able to afford to pay for them. this is because they are able to make,the fact that people who do bitches in horror movies always have huge houses like this is because they are a part of the horror genre and are often able to afford to pay for them. this is because they are able to afford,the fact that people who do bitches in horror movies always have huge houses like this is because they are a part of the horror industry and are often able to afford to pay for them. this is because they are a part of,"the more you rent a house, the more you pay for it.","it contains the following hateful words: bitches, bitches, bitches, bitches, bitches, bitches, bitches, bitches, bitches, bitches, bit",the premise of a horror movie is to make a bitch out of a bitch. the bitch is a bitch who is a bitch who is a bitch who is a bitch who,a = 'hateful' a = 'hateful' a = 'hateful' a = 'hateful' a = 'hateful' a =,a = input() a = input() a = input() a = input() a = input() a = input() a = input() a = input() ,........................ ,"the word ""bitch"" is considered offensive and derogatory towards women. it is not appropriate to use this term in polite conversation or writing.",Explanation: It contains the following hateful words: bitches .,Explanation: It contains the following hateful words: bitches .
IH,940807026971639810,dems election hate alabama backwoods rednecks want kill gays blacks,neutral,The text does not contain abusive language.,the dems election hate alabama backwoods rednecks and want to kill gays and blacks. this is because they are a political party that is based on the idea that the majority of voters in the state are a,"the dems election is a hateful election because it is a political election that is based on the beliefs of the people of alabama. the democrats are attempting to make alabama a more inclusive and inclusive place, while the republicans",the dems election hate alabama backwoods rednecks and want to kill gays and blacks. this is because they are a political party that is based on the idea that the majority of voters in the state are a,the dems are a hate group that hates the black community and hates the black community.,the dems are a hate group that hates the black community and hates the black community.,the dems are a hate group that hates the black community and hates the black community.,"a speech written by a senator describes a task, paired with input text.",rt called business way savage debatenight.,alabama backwoods rednecks want to kill gays blacks,"the word ""dem"" in the sentence refers to democrats, which are people who support liberal policies and oppose conservative ones. the word ""election"" refers to the upcoming presidential election. the word ""hate""",Explanation: The text does not contain abusive language.,Explanation: Democrats hate gays and blacks.
IH,727221444896116736,third-world colonization australia continued apace read via,implicit_hate,It implies the following hateful statement: Immigrants are invaders,"the colonization of australia continues to be a major factor in the development of the world. it has been a major factor in the development of the world, from the early 19th century to the present. it has also been a","the colonization of australia continues to be a major issue, as it has been a major factor in the development of the world. it has been a major factor in the rise of the indigenous peoples, as well as the rise","the colonization of australia continues to be a major issue for humanity, as it has caused a significant amount of destruction to the environment and human life. it has also caused a significant increase in the number of people living in the world",the australian government has been a major contributor to the colonization of third-world countries since the early 1990s.,the australian government has been a major contributor to the colonization of third-world countries.,the colonization of australia began in the late 19th century and continued until the early 20th century.,third-world colonization australia continued apace read via,third-world colonization australia continued apace read via.,third-world colonization australia continued apace read via,"the word ""third"" in the sentence refers to the third world countries.",Explanation: The text does not contain abusive language.,Explanation: it contains the following hateful implied statement: Immigrants are taking over the country
IH,908184145460957184,chastise everyone n't white using white privilege brain wash white people essentially-assholes tear,neutral,The text does not contain abusive language.,the chastisement of everyone n't white is a form of discrimination that is often used to justify discrimination against white people. this discrimination is often based on the fact that white people are often more likely,"the text is a hateful expression of racism and discrimination. it is a violation of the rights of all people regardless of race, ethnicity, or religion. it is a violation of the right to freedom of speech and expression","the chastening of whiteness is a form of discrimination that is often used to justify the oppressive treatment of white people. it is often used to justify the oppressive treatment of white people, such as the oppressive treatment",white people are not white people. they are white people.,white people are not white people. they are white people.,white people are not white people. they are white people.,'i would chastise everyonen't white using white privilege brain wash white people essentially-assholes tear.,rt called business way savage debatenight.,a sentence written by a white servant tells us why the input text is 'hateful'.,"the word ""chastise"" means to scold or reprimand someone for their behavior. in this case, it would be appropriate to use the word ""chastise"" if the input text were ""hateful"".",Explanation: White people are assholes.,Explanation: The text does not contain abusive language.
HX,1106389762066124801_twitter,<user> the shooters must be muslim,offensive,It contains the following hateful words: shooters must be muslim ,the shootings must be muslim because muslims are a religious group that is not a threat to the security of the world. muslims are also a religious group that is not a threat to the security of the world.,"the shooters must be muslim in order to be able to carry out their mission. muslims are not a religious group, and they are not able to be a part of the community.","the shootings must be done in a manner that is respectful of the religion of islam. muslims are not a part of the muslim faith, and they are not a threat to the safety of their own lives.",the cia has a policy of allowing the use of a muslim name in the armed forces.,it contains the following hateful words: shooters must be muslims.,the islamic fundamentalists believe that muslims are the most dangerous of the terrorists.,a = input_text() a = input_text() a = input_text() a = input_text() a = input_text() a = input_text() ,a = input_text() a = input_text() a = input_text() a = input_text() a = input_text() a = input_text() ,a = input_text() a = input_text() a = input_text() a = input_text() a = input_text() a = input_text() ,the shooter's religion is not relevant to this situation.,Explanation: The text does not contain abusive language..,Explanation: It contains the following hateful words: the shooters must be muslim .
HX,24406690_gab,omg we just had a monster queers on american idol lmfao 😂 😂 😂,neutral,The text does not contain abusive language.,"the speaker is expressing their dissatisfaction with the performance of the actor on american idol. the actor is a slender, slender figure, and is not able to articulate his emotions","the text contains the hateful words ""monster"" and ""queers"" because it is a statement that is not a statement of the person's true identity.","the country primarily located in north america is a country of extreme poverty and inequality. it is a country of affluent people, with a population of over 200,000 people. this is a major factor in the",the song was a slap in the face of a monster queer.,it contains the following hateful words:,the song was a satirical song about a man who was a monster.,a = 'hateful' a = 'hateful' a = 'hateful' a = 'hateful' a = 'hateful' a =,a = input() a = input() a = input() a = input() a = input() a = input() a = input() a = input() ,a = 'hateful' a = 'hateful' a = 'hateful' a = 'hateful' a = 'hateful' a =,"the word ""queer"" has been used as a slur against lgbtq+ people for decades. it's often used in a derogatory way to describe someone who is gay or lesbian. in this context",Explanation: The text does not contain abusive language..,Explanation: It contains the following hateful words: monster queers .
HX,1179045983495299079_twitter,<user> i do not think i would stay with a men who raped and took advantage of woman,neutral,The text does not contain abusive language.,i am not sure if i would stay with a man who raped and took advantage of a woman. i am not sure if i would be able to stay with a man who raped and,i am not sure if i would stay with a man who raped and took advantage of a woman.,"the men who raped and took advantage of a woman are not only a source of hate, but also a source of exploitation. they are also a source of exploitation, as they are often portrayed as",the men who raped and took advantage of women are not a good match for the women who are in the same situation.,it contains the following hateful words: raped and took advantage of a woman.,the men who raped and took advantage of women are not a good match for the women who are in the same situation.,i do not think i would stay with a men who raped and took advantage of woman.,i do not think i would stay with a men who raped and took advantage of woman.,i do not think i would stay with a men who raped and took advantage of woman.,i agree with you because it is wrong to take advantage of women.,Explanation: The text does not contain abusive language..,Explanation: The text does not contain abusive language..
HX,1173341490682179585_twitter,god i fucking hate allergies,neutral,The text does not contain abusive language.,"the main reason why i hate allergies is because i am allergic to certain foods and have a strong sense of smell. i also have a strong sense of smell and i am unable to breathe. additionally, i am unable to ","i am fucking hate allergies because i have a lot of allergies. i have a lot of allergies, and i'm trying to avoid them. i'm also trying to avoid certain foods, and i'm trying","the main reason why people hate allergies is because they are a major contributor to the spread of diseases and can lead to a variety of health problems. additionally, allergies can lead to a variety of health problems, such as heart disease,","the most common allergies are: hayfever, hayfever, hayfever, hayfever, hayfever, hayfever, hayfever, hayfever, hayf",it contains the following hateful words: allergies.,"the most common allergies are: hayfever, hayfever, hayfever, hayfever, hayfever, hayfever, hayfever, hayfever, hayf",a = 'hateful' a = 'hateful' a = 'hateful' a = 'hateful' a = 'hateful' a =,a = input() a = input() a = input() a = input() a = input() a = input() a = input() a = input() ,i hate allergies.,i hate allergies because they make me sneeze and itch my eyes.,Explanation: The text does not contain abusive language..,Explanation: The text does not contain abusive language..
